tbl_1,tbl_2,tbl_3
0,-74.05,40.6
0,-74.05,40.601256281407
0,-74.05,40.6025125628141
5.92812152649129e-07,-74.05,40.6037688442211
1.18562430529826e-06,-74.05,40.6050251256281
0,-74.05,40.6062814070352
0,-74.05,40.6075376884422
0,-74.05,40.6087939698492
0,-74.05,40.6100502512563
0,-74.05,40.6113065326633
0,-74.05,40.6125628140704
0,-74.05,40.6138190954774
0,-74.05,40.6150753768844
0,-74.05,40.6163316582915
0,-74.05,40.6175879396985
0,-74.05,40.6188442211055
0,-74.05,40.6201005025126
0,-74.05,40.6213567839196
0,-74.05,40.6226130653266
0,-74.05,40.6238693467337
0,-74.05,40.6251256281407
0,-74.05,40.6263819095477
0,-74.05,40.6276381909548
0,-74.05,40.6288944723618
0,-74.05,40.6301507537688
0,-74.05,40.6314070351759
0,-74.05,40.6326633165829
0,-74.05,40.63391959799
0,-74.05,40.635175879397
0,-74.05,40.636432160804
0,-74.05,40.6376884422111
0,-74.05,40.6389447236181
0,-74.05,40.6402010050251
0,-74.05,40.6414572864322
0,-74.05,40.6427135678392
0,-74.05,40.6439698492462
0,-74.05,40.6452261306533
0,-74.05,40.6464824120603
0,-74.05,40.6477386934673
0,-74.05,40.6489949748744
0,-74.05,40.6502512562814
0,-74.05,40.6515075376884
0,-74.05,40.6527638190955
0,-74.05,40.6540201005025
0,-74.05,40.6552763819096
0,-74.05,40.6565326633166
0,-74.05,40.6577889447236
0,-74.05,40.6590452261307
0,-74.05,40.6603015075377
0,-74.05,40.6615577889447
0,-74.05,40.6628140703518
0,-74.05,40.6640703517588
0,-74.05,40.6653266331658
0,-74.05,40.6665829145729
0,-74.05,40.6678391959799
0,-74.05,40.6690954773869
0,-74.05,40.670351758794
0,-74.05,40.671608040201
0,-74.05,40.672864321608
0,-74.05,40.6741206030151
0,-74.05,40.6753768844221
0,-74.05,40.6766331658291
0,-74.05,40.6778894472362
0,-74.05,40.6791457286432
0,-74.05,40.6804020100503
0,-74.05,40.6816582914573
0,-74.05,40.6829145728643
0,-74.05,40.6841708542714
0,-74.05,40.6854271356784
0,-74.05,40.6866834170854
0,-74.05,40.6879396984925
0,-74.05,40.6891959798995
0,-74.05,40.6904522613065
0,-74.05,40.6917085427136
0,-74.05,40.6929648241206
0,-74.05,40.6942211055276
0,-74.05,40.6954773869347
0,-74.05,40.6967336683417
